Size,Price
1360,47.73280384269908
1794,100.89423611561838
1630,89.29192634515005
1595,68.73902243650167
2138,118.20228193897037
2669,137.1811891472942
966,44.43527049435445
1738,75.31229758074917
830,47.16112826781041
1982,92.0554654962341
2635,117.97060696177518
3419,167.41883347992933
630,26.885342818258167
2185,109.91657278508625
1269,61.68714338074241
2891,156.5589277194953
2015,107.73398941331722
3353,165.93371164773583
2933,137.57813419852607
1715,97.63625726430611
1455,80.60532124498245
2824,167.76010091272045
1684,86.8348604023021
959,64.36771116014077
521,30.65816300148638
2800,140.85923471630815
1247,47.25042717783391
3404,177.41502462358648
974,40.26580076640715
1582,73.96674594602834
3058,152.46463197526504
2547,124.59699089753607
3247,146.7193320541349
1475,65.79369007862987
2306,124.60584400771103
689,41.227674096733416
3234,168.68440259210962
1062,54.836020636648044
2399,126.57284513619062
1767,90.7612216258713
3379,167.26794911900916
2028,113.04768645504524
1146,54.8425231257296
2568,120.70332226333892
3388,181.52172342133127
2714,148.0349680454306
1797,74.10844713055945
2935,153.1295294322489
1100,34.55576978180085
2863,153.8448088619693
